,KEY,accuracy,accuracy_std,activation,amino_accuracy,batch_size,beta,dense_units,dropout,elbo,entropy,kld,latent_dim,learning_rate,mcc,mcc_std,regfactor,rho_avg,rho_min,rho_std,top_batch_size,top_dropout,top_learning_rate,top_regfactor,use_batch_norm
54,top_batch_size,0.749772559,0.016985593,elu,0.65560913,256,2,"[512, 256]",0.2,354.0387019,315.1399842,19.44935896,96,0.001,0.499768253,0.034359546,1.00E-06,0.262529591,-0.208094217,0.351426594,512,0,0.01,0.001,FALSE
55,top_regfactor,0.750800956,0.018060719,elu,0.65560377,256,2,"[512, 256]",0.2,354.0387431,315.1399501,19.44939622,96,0.001,0.502291179,0.035839018,1.00E-06,0.268841068,-0.206935993,0.344201796,256,0,0.01,0.001,FALSE
56,top_regfactor,0.793145671,0.013805004,elu,0.65560913,256,2,"[512, 256]",0.2,354.0387019,315.1399842,19.44935896,96,0.001,0.586893048,0.027847649,1.00E-06,0.349218027,-0.054833274,0.372561869,256,0,0.01,1.00E-06,FALSE
57,top_regfactor,0.790638952,0.014147549,elu,0.65560913,256,2,"[512, 256]",0.2,354.0387019,315.1399842,19.44935896,96,0.001,0.581763051,0.028906221,1.00E-06,0.330134944,-0.123798835,0.387988111,256,0,0.01,1.00E-05,FALSE
58,top_regfactor,0.779582035,0.01120376,elu,0.65560913,256,2,"[512, 256]",0.2,354.0387019,315.1399842,19.44935896,96,0.001,0.559756378,0.022988782,1.00E-06,0.327499942,0.00395704,0.335730389,256,0,0.01,0.0001,FALSE
59,top_regfactor,0.751642596,0.01955857,elu,0.65560913,256,2,"[512, 256]",0.2,354.0387019,315.1399842,19.44935896,96,0.001,0.503977025,0.039454921,1.00E-06,0.232392481,-0.204619545,0.349418041,256,0,0.01,0.001,FALSE
60,top_regfactor,0.665090391,0.036379731,elu,0.65560913,256,2,"[512, 256]",0.2,354.0387019,315.1399842,19.44935896,96,0.001,0.330539118,0.075476499,1.00E-06,-0.186982841,-0.844777364,0.455317819,256,0,0.01,0.1,FALSE
61,top_regfactor,0.708039593,0.036351508,elu,0.65560913,256,2,"[512, 256]",0.2,354.0387019,315.1399842,19.44935896,96,0.001,0.414600896,0.074252671,1.00E-06,-0.003648905,-0.455359443,0.394908691,256,0,0.01,0.01,FALSE
62,top_dropout,0.793145671,0.013805004,elu,0.65560913,256,2,"[512, 256]",0.2,354.0387019,315.1399842,19.44935896,96,0.001,0.586893048,0.027847649,1.00E-06,0.349218027,-0.054833274,0.372561869,256,0,0.01,1.00E-06,FALSE
63,top_dropout,0.711293505,0.0382842,elu,0.65560913,256,2,"[512, 256]",0.2,354.0387019,315.1399842,19.44935896,96,0.001,0.418769876,0.074407903,1.00E-06,-0.129140378,-0.576769679,0.295984678,256,0.1,0.01,1.00E-06,FALSE
64,top_dropout,0.70044317,0.045499087,elu,0.65560913,256,2,"[512, 256]",0.2,354.0387019,315.1399842,19.44935896,96,0.001,0.398128433,0.087539082,1.00E-06,-0.15567884,-0.787974952,0.428555555,256,0.2,0.01,1.00E-06,FALSE
65,top_dropout,0.688411813,0.04682374,elu,0.65560913,256,2,"[512, 256]",0.2,354.0387019,315.1399842,19.44935896,96,0.001,0.374262701,0.089341952,1.00E-06,-0.169950484,-0.844077719,0.465991195,256,0.3,0.01,1.00E-06,FALSE
66,top_dropout,0.672606782,0.047027935,elu,0.65560913,256,2,"[512, 256]",0.2,354.0387019,315.1399842,19.44935896,96,0.001,0.342355814,0.089633859,1.00E-06,-0.158179585,-0.857786384,0.494260095,256,0.4,0.01,1.00E-06,FALSE
67,top_dropout,0.665123045,0.048485421,elu,0.65560913,256,2,"[512, 256]",0.2,354.0387019,315.1399842,19.44935896,96,0.001,0.327325098,0.093123937,1.00E-06,-0.154775098,-0.861197153,0.486107031,256,0.5,0.01,1.00E-06,FALSE
